,,Grouped by mortality_status,Grouped by mortality_status,Grouped by mortality_status,Grouped by mortality_status,Grouped by mortality_status
,,Missing,Overall,Fallecidos,Supervivientes,P-Value
n,,,862,223,639,
"Edad, años (μ ± σ)",,0,61.2 (15.4),69.2 (13.7),58.4 (15.0),<0.001
"IMC, kg/m² (μ ± σ)",,302,31.9 (8.2),30.2 (7.6),32.5 (8.3),0.003
"Presión sistólica mín, mmHg (μ ± σ)",,106,93.9 (16.4),88.3 (18.0),95.9 (15.4),<0.001
"Presión diastólica mín, mmHg (μ ± σ)",,108,51.6 (9.6),47.6 (9.8),53.0 (9.1),<0.001
"SpO2 mín, % (μ ± σ)",,93,84.2 (8.7),80.0 (11.1),85.7 (7.1),<0.001
"Frecuencia cardíaca máx, lpm (μ ± σ)",,92,108.0 (22.6),115.7 (26.7),105.2 (20.2),<0.001
"Temperatura máx, °F (μ ± σ)",,96,99.9 (1.6),100.0 (1.5),99.9 (1.6),0.556
"Frecuencia resp máx, rpm (μ ± σ)",,93,38.4 (10.3),41.3 (10.9),37.3 (9.9),<0.001
"Glucosa máx, mg/dL (μ ± σ)",,18,220.9 (102.3),230.6 (101.8),217.5 (102.3),0.105
"Creatinina máx, mg/dL (μ ± σ)",,17,1.7 (1.9),2.0 (1.9),1.5 (1.8),<0.001
"Bilirrubina máx, mg/dL (μ ± σ)",,148,0.8 (1.6),1.1 (2.9),0.7 (0.6),0.039
"Plaquetas mín, ×10³/µL (μ ± σ)",,21,222.9 (100.7),198.3 (100.6),231.5 (99.5),<0.001
"BUN máx, mg/dL (μ ± σ)",,17,36.7 (25.1),50.3 (30.2),31.9 (21.2),<0.001
"PaO2 mín, mmHg (μ ± σ)",,459,54.5 (23.8),61.0 (22.8),51.2 (23.6),<0.001
"Lactato máx, mmol/L (μ ± σ)",,669,155442.5 (1240246.5),338985.4 (1825207.6),74628.8 (863868.2),0.292
SOFA parcial (μ ± σ),,1,3.3 (2.6),4.5 (2.8),2.9 (2.4),<0.001
APACHE II parcial (μ ± σ),,1,12.8 (5.2),16.2 (5.2),11.7 (4.7),<0.001
"Sexo, n (%)",F,,316 (36.7),76 (34.1),240 (37.6),0.397
"Sexo, n (%)",M,,546 (63.3),147 (65.9),399 (62.4),
"Ventilación mecánica, n (%)",0,,630 (73.1),129 (57.8),501 (78.4),<0.001
"Ventilación mecánica, n (%)",1,,232 (26.9),94 (42.2),138 (21.6),
"Intubación, n (%)",0,,786 (91.2),193 (86.5),593 (92.8),0.007
"Intubación, n (%)",1,,76 (8.8),30 (13.5),46 (7.2),
"CRRT, n (%)",0,,841 (97.6),208 (93.3),633 (99.1),<0.001
"CRRT, n (%)",1,,21 (2.4),15 (6.7),6 (0.9),
"Hemodiálisis, n (%)",0,,833 (96.6),214 (96.0),619 (96.9),0.667
"Hemodiálisis, n (%)",1,,29 (3.4),9 (4.0),20 (3.1),
"ECMO, n (%)",0,,852 (98.8),218 (97.8),634 (99.2),0.137
"ECMO, n (%)",1,,10 (1.2),5 (2.2),5 (0.8),
"Posición prona, n (%)",0,,777 (90.1),202 (90.6),575 (90.0),0.898
"Posición prona, n (%)",1,,85 (9.9),21 (9.4),64 (10.0),
"Línea arterial, n (%)",0,,789 (91.5),199 (89.2),590 (92.3),0.197
"Línea arterial, n (%)",1,,73 (8.5),24 (10.8),49 (7.7),
"Línea central, n (%)",0,,810 (94.0),206 (92.4),604 (94.5),0.319
"Línea central, n (%)",1,,52 (6.0),17 (7.6),35 (5.5),
"Ventilación no invasiva, n (%)",0,,642 (74.5),146 (65.5),496 (77.6),<0.001
"Ventilación no invasiva, n (%)",1,,220 (25.5),77 (34.5),143 (22.4),
"Diabetes mellitus, n (%)",0,,698 (81.0),191 (85.7),507 (79.3),0.049
"Diabetes mellitus, n (%)",1,,164 (19.0),32 (14.3),132 (20.7),
"Enfermedad renal crónica, n (%)",0,,805 (93.4),203 (91.0),602 (94.2),0.137
"Enfermedad renal crónica, n (%)",1,,57 (6.6),20 (9.0),37 (5.8),
"EPOC, n (%)",0,,793 (92.0),209 (93.7),584 (91.4),0.337
"EPOC, n (%)",1,,69 (8.0),14 (6.3),55 (8.6),
"Obesidad, n (%)",0,,812 (94.2),213 (95.5),599 (93.7),0.418
"Obesidad, n (%)",1,,50 (5.8),10 (4.5),40 (6.3),
