,,Grouped by mortality_status,Grouped by mortality_status,Grouped by mortality_status,Grouped by mortality_status,Grouped by mortality_status
,,Missing,Overall,Fallecidos,Supervivientes,P-Value
n,,,2067,483,1584,
"Edad, años (μ ± σ)",,0,61.8 (15.7),70.1 (13.8),59.2 (15.4),<0.001
"IMC, kg/m² (μ ± σ)",,1313,31.6 (8.6),30.7 (8.0),31.9 (8.8),0.090
"Presión sistólica mín, mmHg (μ ± σ)",,312,105.1 (21.2),100.4 (22.3),106.6 (20.6),<0.001
"Presión diastólica mín, mmHg (μ ± σ)",,314,58.8 (11.9),55.4 (12.0),59.8 (11.7),<0.001
"SpO2 mín, % (μ ± σ)",,275,89.6 (7.1),86.9 (9.1),90.4 (6.1),<0.001
"Frecuencia cardíaca máx, lpm (μ ± σ)",,272,99.5 (21.6),103.2 (25.2),98.3 (20.2),<0.001
"Glucosa máx, mg/dL (μ ± σ)",,1051,205.9 (97.8),211.1 (98.3),204.1 (97.6),0.318
"Frecuencia resp máx, rpm (μ ± σ)",,299,32.9 (9.8),35.4 (10.4),32.1 (9.5),<0.001
"Creatinina máx, mg/dL (μ ± σ)",,1303,1.8 (2.1),2.2 (2.2),1.6 (2.0),0.003
"Bilirrubina máx, mg/dL (μ ± σ)",,1554,0.8 (1.0),1.0 (1.6),0.7 (0.6),0.032
"Plaquetas mín, ×10³/µL (μ ± σ)",,1532,225.9 (111.4),199.4 (114.8),235.7 (108.6),0.001
"BUN máx, mg/dL (μ ± σ)",,1321,34.0 (27.7),45.5 (31.2),30.0 (25.2),<0.001
"PaO2 mín, mmHg (μ ± σ)",,1401,65.5 (25.3),73.2 (23.8),62.0 (25.1),<0.001
Score de severidad (μ ± σ),,0,0.1 (0.1),0.2 (0.1),0.1 (0.1),<0.001
"Sexo, n (%)",F,,785 (38.0),165 (34.2),620 (39.1),0.055
"Sexo, n (%)",M,,1282 (62.0),318 (65.8),964 (60.9),
"Ventilación mecánica, n (%)",0,,1750 (84.7),366 (75.8),1384 (87.4),<0.001
"Ventilación mecánica, n (%)",1,,317 (15.3),117 (24.2),200 (12.6),
"Intubación, n (%)",0,,1979 (95.7),457 (94.6),1522 (96.1),0.204
"Intubación, n (%)",1,,88 (4.3),26 (5.4),62 (3.9),
"CRRT, n (%)",0,,2053 (99.3),475 (98.3),1578 (99.6),0.007
"CRRT, n (%)",1,,14 (0.7),8 (1.7),6 (0.4),
"Hemodiálisis, n (%)",0,,2042 (98.8),476 (98.6),1566 (98.9),0.754
"Hemodiálisis, n (%)",1,,25 (1.2),7 (1.4),18 (1.1),
"ECMO, n (%)",0,,2055 (99.4),480 (99.4),1575 (99.4),1.000
"ECMO, n (%)",1,,12 (0.6),3 (0.6),9 (0.6),
"Posición prona, n (%)",0,,1889 (91.4),440 (91.1),1449 (91.5),0.867
"Posición prona, n (%)",1,,178 (8.6),43 (8.9),135 (8.5),
"Línea arterial, n (%)",0,,1978 (95.7),464 (96.1),1514 (95.6),0.740
"Línea arterial, n (%)",1,,89 (4.3),19 (3.9),70 (4.4),
"Línea central, n (%)",0,,2016 (97.5),466 (96.5),1550 (97.9),0.125
"Línea central, n (%)",1,,51 (2.5),17 (3.5),34 (2.1),
"Ventilación no invasiva, n (%)",0,,1870 (90.5),422 (87.4),1448 (91.4),0.010
"Ventilación no invasiva, n (%)",1,,197 (9.5),61 (12.6),136 (8.6),
